Runtime,Model,Image,Inference Time (ms),Top Prediction,Probability
opencv,squeezenet,cat,43.49,Egyptian cat,20.1530
opencv,squeezenet,cat,38.56,Egyptian cat,20.1530
opencv,squeezenet,cat,38.44,Egyptian cat,20.1530
opencv,squeezenet,cat,38.38,Egyptian cat,20.1530
opencv,squeezenet,cat,38.50,Egyptian cat,20.1530
opencv,squeezenet,cat,38.43,Egyptian cat,20.1530
opencv,squeezenet,cat,38.44,Egyptian cat,20.1530
opencv,squeezenet,cat,38.91,Egyptian cat,20.1530
opencv,squeezenet,cat,38.48,Egyptian cat,20.1530
opencv,squeezenet,cat,38.43,Egyptian cat,20.1530
